"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"368",15,"Will Dissly",LAC,"TE48","5","3 out of 5 stars","-51"
"369",15,"Drew Lock",NYG,"QB40","11","2 out of 5 stars","-48"
"370",15,"Greg Joseph",GB,"K23","10","5 out of 5 stars","-"
"371",15,"KaVontae Turpin",DAL,"WR134","7","3 out of 5 stars","-"
"372",15,"Parker Washington",JAC,"WR135","12","4 out of 5 stars","-"
"373",15,"Austin Hooper",NE,"TE49","14","3 out of 5 stars","-"
"374",15,"Jeremy Ruckert",NYJ,"TE50","12","3 out of 5 stars","-"
"375",16,"Logan Thomas",SF,"TE51","9","4 out of 5 stars","-47"
"376",16,"Xavier Hutchinson",HOU,"WR136","14","3 out of 5 stars","-"
"377",16,"Trenton Irwin",CIN,"WR137","12","2 out of 5 stars","-"
"378",16,"Rasheen Ali",BAL,"RB100","14","3 out of 5 stars","-83"
"379",16,"Jarrett Stidham",DEN,"QB41","14","2 out of 5 stars","-"
"380",16,"Adam Trautman",DEN,"TE52","14","2 out of 5 stars","-"
"381",16,"Royce Freeman",DAL,"RB101","7","3 out of 5 stars","-"
"382",16,"Keaontay Ingram",KC,"RB102","6","3 out of 5 stars","-"
"383",16,"Erick All Jr.",CIN,"TE53","12","3 out of 5 stars","-47"
"384",16,"Cole Turner",WAS,"TE54","14","2 out of 5 stars","-"
"385",16,"Sean Tucker",TB,"RB103","11","5 out of 5 stars","-"
"386",16,"Bo Melton",GB,"WR138","10","4 out of 5 stars","-88"
"387",16,"Cade Stover",HOU,"TE55","14","2 out of 5 stars","-37"
"388",16,"Craig Reynolds",DET,"RB104","5","3 out of 5 stars","-"
"389",16,"Kenny Pickett",PHI,"QB42","5","2 out of 5 stars","-52"
"390",16,"Latavius Murray",FA,"RB105","-","-","-"
"391",16,"Matt Breida",FA,"RB106","-","-","-"
"392",16,"Chase Claypool",BUF,"WR139","12","2 out of 5 stars","-107"
"393",16,"Jake Browning",CIN,"QB43","12","2 out of 5 stars","-"
"394",16,"Dalvin Cook",FA,"RB107","-","-","-110"
"395",16,"Davis Allen",LAR,"TE56","6","3 out of 5 stars","-73"
"396",16,"Jameis Winston",CLE,"QB44","10","4 out of 5 stars","-55"
"397",16,"Nick Westbrook-Ikhine",TEN,"WR140","5","4 out of 5 stars","-"
"398",16,"Zach Wilson",DEN,"QB45","14","2 out of 5 stars","-"
"399",16,"Will Mallory",IND,"TE57","14","3 out of 5 stars","-"
"400",16,"Tommy Tremble",CAR,"TE58","11","3 out of 5 stars","-93"
"401",16,"Van Jefferson",PIT,"WR141","9","1 out of 5 stars","-111"
